githup 9-20央视,#genre#
01,http://go.bkpcp.top/mg/cctv1 #8-16 加入咪咕
01,http://j.s.bkpcp.top/jj/cctv1
01,http://183.222.242.31:8088/hls/1/index.m3u8
01,http://106.53.99.30/tv/api.php?id=cctv1
01,http://106.53.99.30/tv/hot.php?id=cctv1
01,http://106.53.99.30/tv/jzb.php?id=cctv1
01,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=123
02,http://go.bkpcp.top/mg/cctv2 
02,http://j.s.bkpcp.top/jj/cctv2
02,http://183.222.242.31:8088/hls/2/index.m3u8
02,http://106.53.99.30/tv/hot.php?id=cctv2
02,http://106.53.99.30/tv/api.php?id=cctv2
02,http://106.53.99.30/tv/jzb.php?id=cctv2
02,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cctv2
03,http://go.bkpcp.top/mg/cctv3 
03,http://j.s.bkpcp.top/jj/cctv3
03,http://183.222.242.31:8088/hls/3/index.m3u8
03,http://106.53.99.30/tv/hot.php?id=cctv3
03,http://106.53.99.30/tv/jzb.php?id=cctv3
03,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cctv3
04,http://go.bkpcp.top/mg/cctv4#8-16 加入
04,http://j.s.bkpcp.top/jj/cctv4
04,http://183.222.242.31:8088/hls/4/index.m3u8
04,http://106.53.99.30/tv/hot.php?id=cctv4
04,http://106.53.99.30/tv/jzb.php?id=cctv4
04,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cctv4
05,http://go.bkpcp.top/mg/cctv5
05,http://j.s.bkpcp.top/jj/cctv5
05,http://183.222.242.31:8088/hls/5/index.m3u8
05,http://106.53.99.30/tv/hot.php?id=cctv5
05,http://106.53.99.30/tv/jzb.php?id=cctv5
06,http://go.bkpcp.top/mg/cctv6
06,http://j.s.bkpcp.top/jj/cctv6
06,http://183.222.242.31:8088/hls/6/index.m3u8
06,http://106.53.99.30/tv/hot.php?id=cctv6
06,https://smt.520761.xyz/Smart.php?id=cctv6
06,http://106.53.99.30/tv/jzb.php?id=cctv6
07,http://go.bkpcp.top/mg/cctv7 
07,http://j.s.bkpcp.top/jj/cctv7
07,http://183.222.242.31:8088/hls/7/index.m3u8
07,http://106.53.99.30/tv/hot.php?id=cctv7
07,http://106.53.99.30/tv/api.php?id=cctv7
07,http://106.53.99.30/tv/jzb.php?id=cctv7
07,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cctv7
08,http://go.bkpcp.top/mg/cctv8
08,http://j.s.bkpcp.top/jj/cctv8
08,http://183.222.242.31:8088/hls/8/index.m3u8
08,http://106.53.99.30/tv/hot.php?id=cctv8
08,http://106.53.99.30/tv/jzb.php?id=cctv8
08,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cctv8
09,http://go.bkpcp.top/mg/cctv9
09,http://j.s.bkpcp.top/jj/cctv9
09,http://183.222.242.31:8088/hls/9/index.m3u8
09,http://106.53.99.30/tv/hot.php?id=cctv9
09,http://106.53.99.30/tv/jzb.php?id=cctv9
09,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cctv9
10,http://go.bkpcp.top/mg/cctv10 
10,http://j.s.bkpcp.top/jj/cctv10
10,http://183.222.242.31:8088/hls/10/index.m3u8
10,http://106.53.99.30/tv/hot.php?id=cctv10
10,http://106.53.99.30/tv/jzb.php?id=cctv10
10,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cctv10
11,http://go.bkpcp.top/mg/cctv11
11,http://j.s.bkpcp.top/jj/cctv11
11,http://183.222.242.31:8088/hls/11/index.m3u8
11,http://106.53.99.30/tv/hot.php?id=cctv11
11,http://106.53.99.30/tv/jzb.php?id=cctv11
12,http://go.bkpcp.top/mg/cctv12
12,http://j.s.bkpcp.top/jj/cctv12
12,http://183.222.242.31:8088/hls/12/index.m3u8
12,http://106.53.99.30/tv/hot.php?id=cctv12
12,http://106.53.99.30/tv/jzb.php?id=cctv12
